Date,Description,Amount,Transaction Type,Category,Account Name
01-01-2020,Rent/ Mortgage,1400.0,debit,Mortgage & Rent,Savings
01-01-2020,Eversource Electricity,58.16,debit,Utilities,Checking
01-01-2020,National Grid Gas,76.7,debit,Utilities,Checking
01-01-2020,Heating fuel,156.85,debit,Utilities,Checking
01-01-2020,Dominos,33.68,debit,Restaurants,Credit Card
01-02-2020,Boston Halal,70.51,debit,Restaurants,Credit Card
01-03-2020,Stop and Shop,199.97,debit,Grocery shopping,Credit Card
01-05-2020,Mall,79.38,debit,Shopping,Credit Card
01-06-2020,Karaoke,27.18,debit,Entertainment,Credit Card
01-07-2020,Boston Shawarma,77.4,debit,Restaurants,Credit Card
01-08-2020,Uber,11.72,debit,Travel expenses,Credit Card
01-08-2020,Credit Transaction,16.0,credit,Cashback Rewards,Savings
01-09-2020,MBTA,25.93,debit,Travel expenses,Credit Card
01-09-2020,AMC Boston,51.0,debit,Entertainment,Credit Card
01-12-2020,Ace Hardware,157.13,debit,Grocery shopping,Credit Card
01-12-2020,Dominos,54.7,debit,Restaurants,Credit Card
01-13-2020,Monthly direct deposit - Salary,6000.0,credit,Salary,Savings
01-13-2020,AMC Boston,20.3,debit,Entertainment,Credit Card
01-13-2020,Boston Shawarma,31.75,debit,Restaurants,Credit Card
01-14-2020,AMC Boston,55.49,debit,Entertainment,Credit Card
01-14-2020,Credit Transaction,6.04,credit,Cashback Rewards,Savings
01-14-2020,Market Basket,235.23,debit,Grocery shopping,Credit Card
01-14-2020,Credit Transaction,19.64,credit,Cashback Rewards,Savings
01-14-2020,Ice skating,45.34,debit,Entertainment,Credit Card
01-15-2020,Uber,20.99,debit,Travel expenses,Credit Card
01-15-2020,MBTA,12.39,debit,Travel expenses,Credit Card
01-15-2020,Temu,76.98,debit,Shopping,Credit Card
01-17-2020,MBTA,19.56,debit,Travel expenses,Credit Card
01-18-2020,Temu,48.92,debit,Shopping,Credit Card
01-20-2020,MBTA,24.09,debit,Travel expenses,Credit Card
01-20-2020,Mall,67.28,debit,Shopping,Credit Card
01-22-2020,Mama-cita,56.79,debit,Restaurants,Credit Card
01-23-2020,Boston Halal,38.1,debit,Restaurants,Credit Card
01-24-2020,Uber,20.28,debit,Travel expenses,Credit Card
